Scancode,SPDX-ID
LaTeX Project Public License 1.3c,LPPL-1.3c
LaTeX Project Public License v1.0,LPPL-1.0
LaTeX Project Public License v1.1,LPPL-1.1
LaTeX Project Public License v1.2,LPPL-1.2
LaTeX Project Public License v1.3a,LPPL-1.3a
LaTeX Project Public License v1.3c,LPPL-1.3c
"LaTeX Project Public License, Version 1.3c",LPPL-1.3c
LaTeX Project Public License Version 1.3c,LPPL-1.3c
Lawrence Berkeley National Labs BSD variant license,BSD-3-Clause-LBNL
LBNL BSD Variant,BSD-3-Clause-LBNL
Leptonica License,Leptonica
Lesser General Public License For Linguistic Resources,LGPLLR
LGPL 2.0,LGPL-2.0-only
LGPL 2.0 or later,LGPL-2.0-or-later
lgpl-2.1,LGPL-2.1-only
LGPL 2.1,LGPL-2.1-only,
LGPL-2.1,LGPL-2.1-only
LGPL2.1,LGPL-2.1-only
LGPL-2.1+,LGPL-2.1-or-later
LGPL2.1+,LGPL-2.1-or-later
#LGPL-2.1-only
#LGPL-2.1-only,
#LGPL-2.1-or-later
#LGPL-2.1-or-later,
LGPL 2.1 or later,LGPL-2.1-or-later
LGPL-3.0-only,LGPL-3.0-or-later
#LGPL-3.0-or-late
#LGPL-3.0-or-later
LGPL-3.0-or-later,LGPL-3.0-only
LGPL 3.0 or later,LGPL-3.0-or-later
LGPL 3.0 or later,LGPL-3.0-or-later,
#LGPL 3,LGPL-3.0-only
#LGPL 3,LGPL-3.0-only,
LGPL v2.1,LGPL-2.1-only
LGPL v2.1,LGPL-2.1-only,
LGPL (v2.1),LGPL-2.1-only
"LGPL v2.1 or later",LGPL-2.1-or-later
"LGPL v2.1 or later",LGPL-2.1-or-later,
"LGPL, v2.1 or later",LGPL-2.1-or-later
"LGPL, v2.1 or later",LGPL-2.1-or-later,
LGPL (v2.1 or later),LGPL-2.1-or-later
libpng License,Libpng
Libpng License,Libpng
libpng license (libpng-1.2.6 and later),Libpng
LIbpng License v2,libpng-2.0
libselinux public domain notice,libselinux-1.0
libtiff License,libtiff
Licence Art Libre 1.2,LAL-1.2
Licence Art Libre 1.3,LAL-1.3
Licence Libre du Québec – Permissive version 1.1,LiLiQ-P-1.1
"Licence Libre du Québec – Permissive, Version 1.1",LiLiQ-P-1.1
Licence Libre du Québec – Réciprocité forte version 1.1,LiLiQ-Rplus-1.1
"Licence Libre du Québec – Réciprocité forte, Version 1.1",LiLiQ-Rplus-1.1
Licence Libre du Québec – Réciprocité version 1.1,LiLiQ-R-1.1
"Licence Libre du Québec – Réciprocité, Version 1.1",LiLiQ-R-1.1
License :: OSI Approved :: Academic Free License (AFL),AFL-3.0
License :: OSI Approved :: Apache Software License,Apache-2.0
License :: OSI Approved :: Apple Public Source License,APSL-2.0
License :: OSI Approved :: Artistic License,Artistic-2.0
License :: OSI Approved :: Attribution Assurance License,AAL
License :: OSI Approved :: BSD License,BSD-3-Clause
"License :: OSI Approved :: CEA CNRS Inria Logiciel Libre License, version 2.1 (CeCILL-2.1)",CECILL-2.1
License :: OSI Approved :: Common Public License,CPL-1.0
License :: OSI Approved :: Eiffel Forum License,EFL-2.0
License :: OSI Approved :: European Union Public Licence 1.1 (EUPL 1.1),EUPL-1.1
License :: OSI Approved :: GNU Affero General Public License v3,AGPL-3.0-only
License :: OSI Approved :: GNU General Public License v2 (GPLv2),GPL-2.0-only
License :: OSI Approved :: GNU Lesser General Public License v2 (LGPLv2),LGPL-2.1-only
License :: OSI Approved :: IBM Public License,IPL-1.0
License :: OSI Approved :: Intel Open Source License,Intel
License :: OSI Approved :: ISC License (ISCL),ISC
License :: OSI Approved :: MIT License,MIT
License :: OSI Approved :: Motosoto License,Motosoto
License :: OSI Approved :: Mozilla Public License 1.0 (MPL),MPL-1.0
License :: OSI Approved :: Mozilla Public License 1.1 (MPL 1.1),MPL-1.1
License :: OSI Approved :: Mozilla Public License 2.0 (MPL 2.0),MPL-2.0
License :: OSI Approved :: Nethack General Public License,NGPL
License :: OSI Approved :: Nokia Open Source License,Nokia
License :: OSI Approved :: Open Group Test Suite License,OGTSL
License :: OSI Approved :: Python License (CNRI Python License),CNRI-Python
License :: OSI Approved :: Python Software Foundation License,Python-2.0
License :: OSI Approved :: Qt Public License (QPL),QPL-1.0
License :: OSI Approved :: Ricoh Source Code Public License,RSCPL
License :: OSI Approved :: Sleepycat License,Sleepycat
License :: OSI Approved :: Sun Industry Standards Source License (SISSL),SISSL
License :: OSI Approved :: Sun Public License,SPL-1.0
License :: OSI Approved :: University of Illinois/NCSA Open Source License,NCSA
License :: OSI Approved :: Vovida Software License 1.0,VSL-1.0
License :: OSI Approved :: W3C License,W3C
License :: OSI Approved :: X.Net License,Xnet
License :: OSI Approved :: zlib/libpng License,Zlib
License :: OSI Approved :: Zope Public License,ZPL-2.0
LiLiQ-P,LiLiQ-P-1.1
LiLiQ-R,LiLiQ-R-1.1
LiLiQ-R+,LiLiQ-Rplus-1.1
Linux Kernel Variant of OpenIB.org license,Linux-OpenIB
LPPL 1.0,LPPL-1.0
LPPL 1.1,LPPL-1.1
LPPL 1.2,LPPL-1.2
LPPL 1.3a,LPPL-1.3a
LPPL 1.3c,LPPL-1.3c
Lucent Public License 1.02,LPL-1.02
Lucent Public License 1.0,LPL-1.0
"Lucent Public License (""Plan9"") 1.0",LPL-1.0
"Lucent Public License, Plan 9, Version 1.0",LPL-1.0
Lucent Public License v1.02,LPL-1.02
"Lucent Public License, Version 1.02",LPL-1.02
Lucent Public License Version 1.0,LPL-1.0
MakeIndex Distribution Notice,MakeIndex
MakeIndex License,MakeIndex
Matrix Template Library License,MTLL
#MI
Microsoft Public License,MS-PL
Microsoft Public License (MS-PL),MS-PL
Microsoft Reciprocal License,MS-RL
Microsoft Reciprocal License (MS-RL),MS-RL
MirOS Licence,MirOS
MirOS License,MirOS
#MIT
MIT-0-Clause,MIT-0
MIT Acknowledgment License,MIT-feh
MIT/Expat License,MIT
MIT license (also X11),MIT
MIT Licensed,MIT
MIT Licensed,MIT,
mit-license,MIT
MIT License,MIT,
MIT license / X11 license,MIT
MIT No Attribution,MIT-0
MIT +no-false-attribs license,MITNFA
MIT +no-false-attribs License,MITNFA
MIT no false attribution License,MITNFA
MIT Old Style no advertising,NTP
MIT with Export Control,Xerox
Modified BSD License,BSD-3-Clause,
MongoDB SSPL 1.0,SSPL-1.0
Motosoto 0.9.1,Motosoto
Motosoto License,Motosoto
"Motosoto Open Source License, Version 0.9.1",Motosoto
mozilla1.1,MPL-1.1
mozilla2.0,MPL-2.0
Mozilla Public License 1.0,MPL-1.0
Mozilla Public License 1.1,MPL-1.1
Mozilla Public License 1.1 (MPL 1.1),MPL-1.1
Mozilla Public License 1.1 (MPL 1.1),MPL-1.1,
Mozilla Public License 2.0,MPL-2.0,
Mozilla Public License 2.0 (no copyleft exception),MPL-2.0-no-copyleft-exception
Mozilla Public License 2,MPL-2.0
Mozilla Public License 2,MPL-2.0,
Mozilla Public License Version 1.0,MPL-1.0
"Mozilla Public License, Version 1.0",MPL-1.0
Mozilla Public License Version 1.1,MPL-1.1
"Mozilla Public License, Version 1.1",MPL-1.1
Mozilla Public License Version 2.0,MPL-2.0
"Mozilla Public License Version 2.0",MPL-2.0
"Mozilla Public License Version 2.0",MPL-2.0,
"Mozilla Public License, Version 2.0",MPL-2.0,
mpich2 License,mpich2
MPICH License,mpich2
#MPL-1.
MPL 1.0,MPL-1.0
#MPL-1.1
MPL 1.1,MPL-1.1,
#MPL-2.
#MPL-2.0
MPL 2.0,MPL-2.0,
MPL 2.0 with no copyleft exception,MPL-2.0-no-copyleft-exception
MPL2,MPL-2.0
MPL2,MPL-2.0,
"Mulan Permissive Software License, Version 1",MulanPSL-1.0
"Mulan Permissive Software License, Version 2",MulanPSL-2.0
Mulan PSL v1,MulanPSL-1.0
Mulan PSL v2,MulanPSL-2.0
Multics License,Multics
Mup License,Mup
nasa1.3,NASA-1.3
NASA 1.3,NASA-1.3
NASA Open Source Agreement 1.3,NASA-1.3
"NASA Open Source Agreement, Version 1.3",NASA-1.3
Naumen Public License,Naumen
NAUMEN Public License,Naumen
NCSA Open Source License,NCSA
Net Boolean Public License v1,NBPL-1.0
NetCDF Copyright,NetCDF
NetCDF Copyright(version 2009),NetCDF
NetCDF license,NetCDF
NetCDF License,NetCDF
Nethack General Public License,NGPL
Netizen Open Source License,NOSL
Netscape Public License 1.1,NPL-1.1
Netscape Public License v1.0,NPL-1.0
Netscape Public License v1.1,NPL-1.1
Netscape Public License Version 1.1,NPL-1.1
Net SNMP License,Net-SNMP
Net-SNMP License,Net-SNMP
New BSD License,BSD-3-Clause,
Newsletr License,Newsletr
NIST Public Domain Notice,NIST-PD
NIST Public Domain Notice with fallback,NIST-PD-fallback
NIST Public Domain Notice with license fallback,NIST-PD-fallback
Nokia Open Source License,Nokia
"Nokia Open Source License, Version 1.0a",Nokia
NOKOS License 1.0a,Nokia
No Limit Public License,NLPL
Non-Commercial Government Licence,NCGL-UK-2.0
Non-Profit Open Software License 3.0,NPOSL-3.0
Non-Profit OSL 3.0,NPOSL-3.0
Norwegian Licence for Open Government Data,NLOD-1.0
NOSL 1.0,NOSL
nosl3.0,NPOSL-3.0
# not completely sure about this - is not present in SPDX lis
# not completely sure about this - is not present in SPDX list
Noweb License,Noweb
NPL 1.0,NPL-1.0
NPL 1.1,NPL-1.1
NRL License,NRL
NTP License,NTP
NTP License (NTP),NTP
NTP No Attribution,NTP-0
oclc2,OCLC-2.0
OCLC Research Public License 2.0,OCLC-2.0
ODbL 1.0,ODbL-1.0
ODbL,ODbL-1.0
ODC Open Database License v1.0,ODbL-1.0
ODC-PDDL-1.0,PDDL-1.0
ODC Public Domain Dedication & License 1.0,PDDL-1.0
OFL 1.0,OFL-1.0
OFL 1.1,OFL-1.1
OGC 1.0,OGC-1.0
"OGC Software License, Version 1.0",OGC-1.0
OGL-CA-2.0,OGL-Canada-2.0
OGL Canada 2.0,OGL-Canada-2.0
Open CASCADE Technology Public License,OCCT-PL
Open Data Commons Attribution License 1.0,ODC-By-1.0
Open Data Commons Attribution License v1.0,ODC-By-1.0
Open Data Commons Open Database License 1.0,ODbL-1.0
Open Data Commons Public Domain Dedication and Licence 1.0,PDDL-1.0
Open Font License 1.1,OFL-1.1
Open Government Licence 1.0 (United Kingdom),OGL-UK-1.0
Open Government Licence 2.0 (United Kingdom),OGL-UK-2.0
Open Government Licence 3.0 (United Kingdom),OGL-UK-3.0
Open Government Licence - Canada,OGL-Canada-2.0
Open Government Licence v1.0,OGL-UK-1.0
Open Government Licence v2.0,OGL-UK-2.0
Open Government Licence v3.0,OGL-UK-3.0
Open Government License 2.0 (Canada),OGL-Canada-2.0
Open Group Test Suite License,OGTSL
OpenLDAP Public License 1.1,OLDAP-1.1
OpenLDAP Public License 1.2,OLDAP-1.2
OpenLDAP Public License 1.3,OLDAP-1.3
OpenLDAP Public License 1.4,OLDAP-1.4
OpenLDAP Public License 2.0.1,OLDAP-2.0.1
OpenLDAP Public License 2.0,OLDAP-2.0
OpenLDAP Public License 2.1,OLDAP-2.1
OpenLDAP Public License 2.2.1,OLDAP-2.2.1
Open LDAP Public License 2.2.2,OLDAP-2.2.2
OpenLDAP Public License 2.2.2,OLDAP-2.2.2
OpenLDAP Public License 2.2,OLDAP-2.2
OpenLDAP Public License 2.3,OLDAP-2.3
OpenLDAP Public License 2.4,OLDAP-2.4
OpenLDAP Public License 2.5,OLDAP-2.5
OpenLDAP Public License 2.6,OLDAP-2.6
OpenLDAP Public License 2.7,OLDAP-2.7
OpenLDAP Public License 2.8,OLDAP-2.8
Open LDAP Public License v1.1,OLDAP-1.1
Open LDAP Public License v1.2,OLDAP-1.2
Open LDAP Public License v1.3,OLDAP-1.3
Open LDAP Public License v1.4,OLDAP-1.4
Open LDAP Public License v2.0.1,OLDAP-2.0.1
Open LDAP Public License v2.0 (or possibly 2.0A and 2.0B),OLDAP-2.0
Open LDAP Public License v2.1,OLDAP-2.1
Open LDAP Public License v2.2.1,OLDAP-2.2.1
Open LDAP Public License v2.2,OLDAP-2.2
Open LDAP Public License v2.3,OLDAP-2.3
Open LDAP Public License v2.4,OLDAP-2.4
Open LDAP Public License v2.5,OLDAP-2.5
Open LDAP Public License v2.6,OLDAP-2.6
Open LDAP Public License v2.7,OLDAP-2.7
Open LDAP Public License v2.8,OLDAP-2.8
Open Market License,OML
Open MPI License,BSD-3-Clause-Open-MPI
Open Public License 1.0,OPL-1.0
Open Public License v1.0,OPL-1.0
Open Software License 1.0,OSL-1.0
Open Software License 1.1,OSL-1.1
Open Software License 2.0,OSL-2.0
Open Software License 2.1,OSL-2.1
Open Software License 3.0,OSL-3.0
"Open Software License, Version 1.0",OSL-1.0
"Open Software License, version 2.1",OSL-2.1
"Open Software License, Version 2.1",OSL-2.1
"Open Software License, Version 3.0",OSL-3.0
OpenSSH License,SSH-OpenSSH
OpenSSL license,OpenSSL
OpenSSL License,OpenSSL
OpenSSL/SSLeay License,OpenSSL
Open Use of Data Agreement v1.0,O-UDA-1.0
Open Watcom 1.0,Watcom-1.0
Oracle BSD-Style with Nuclear Restrictions,BSD-3-Clause-No-Nuclear-License-2014
OSET Public License version 2.1,OSET-PL-2.1
OSL 1.0,OSL-1.0
OSL 1.1,OSL-1.1
OSL 2.0,OSL-2.0
OSL 2.1,OSL-2.1
OSL 3.0,OSL-3.0
PDDL 1.0,PDDL-1.0
PHP License 3.01,PHP-3.01
PHP License 3.0,PHP-3.0
PHP License v3.01,PHP-3.01
PHP License v3.0,PHP-3.0
"PHP License, version 3.01",PHP-3.01
"PHP License, version 3.0",PHP-3.0
Plexus Classworlds License,Plexus
PNG Reference Library version 2,libpng-2.0
Polyform Noncommercial License 1.0.0,PolyForm-Noncommercial-1.0.0
PolyForm Noncommercial License 1.0.0,PolyForm-Noncommercial-1.0.0
Polyform Small Business License 1.0.0,PolyForm-Small-Business-1.0.0
PolyForm Small Business License 1.0.0,PolyForm-Small-Business-1.0.0
PostgreSQL License,PostgreSQL
psfrag License,psfrag
PS Utilities License,psutils
psutils License,psutils
Python License 2.0,Python-2.0
"Python License, Version 2.0",Python-2.0
Python Software Foundation License 2.0,PSF-2.0
Python Software Foundation License 2,Python-2.0
PYTHON SOFTWARE FOUNDATION LICENSE VERSION 2,Python-2.0
Qhull License,Qhull
QPL 1.0,QPL-1.0
Q Public License 1.0,QPL-1.0
Q Public License,QPL-1.0
Q PUBLIC LICENSE version 1.0,QPL-1.0
Rdisc License,Rdisc
RealNetworks Public Source License 1.0,RPSL-1.0
RealNetworks Public Source License v1.0,RPSL-1.0
RealNetworks Public Source License V1.0,RPSL-1.0
"RealNetworks Public Source License, Version 1.0",RPSL-1.0
Reciprocal Public License 1.1,RPL-1.1
Reciprocal Public License 1.5,RPL-1.5
"Reciprocal Public License, Version 1.1",RPL-1.1
"Reciprocal Public License, Version 1.5",RPL-1.5
Red Hat eCos Public License 1.1,RHeCos-1.1
Red Hat eCos Public License v1.1,RHeCos-1.1
Regexp License,Spencer-86
Revised BSD License,BSD-3-Clause
Ricoh Source Code Public License 1.0,RSCPL
Ricoh Source Code Public License,RSCPL
RPL 1.1,RPL-1.1
RPL 1.5,RPL-1.5
RSA-MD5 License,RSA-MD
RSA Message-Digest License ,RSA-MD
RSA Message-Digest License,RSA-MD
Ruby License (1.9.2 and earlier),Ruby
Ruby License (1.9.3 and later),Ruby
Ruby License,Ruby
Saxpath License,Saxpath
Sax Public Domain Notice,SAX-PD
scancode://abstyles,Abstyles
scancode://ace-tao,DOC
scancode://adapt-1.0,APL-1.0
scancode://adobe-glyph,Adobe-Glyph
scancode://adobe-scl,Adobe-2006
scancode://adsl,ADSL
scancode://afl-1.1,AFL-1.1
scancode://afl-1.2,AFL-1.2
scancode://afl-2.0,AFL-2.0
scancode://afl-2.1,AFL-2.1
scancode://afl-3.0,AFL-3.0
scancode://afmparse,Afmparse
scancode://afpl-8.0,Aladdin
scancode://agpl-1.0,AGPL-1.0-only
scancode://agpl-1.0-plus,AGPL-1.0-or-later
scancode://agpl-3.0,AGPL-3.0-only
scancode://agpl-3.0-plus,AGPL-3.0-or-later
scancode://allegro-4,Giftware
scancode://amdplpa,AMDPLPA
scancode://aml,AML
scancode://ampas,AMPAS
scancode://antlr-pd,ANTLR-PD
scancode://apache-1.0,Apache-1.0
scancode://apache-1.1,Apache-1.1
scancode://apache-2.0,Apache-2.0
scancode://apafml,APAFML
scancode://apsl-1.0,APSL-1.0
scancode://apsl-1.1,APSL-1.1
scancode://apsl-1.2,APSL-1.2
scancode://apsl-2.0,APSL-2.0
scancode://artistic-1.0,Artistic-1.0
scancode://artistic-1.0-cl8,Artistic-1.0-cl8
scancode://artistic-2.0,Artistic-2.0
scancode://artistic-clarified,ClArtistic
scancode://artistic-perl-1.0,Artistic-1.0-Perl
scancode://attribution,AAL
scancode://bahyph,Bahyph
scancode://barr-tex,Barr
scancode://beerware,Beerware
scancode://bittorrent-1.0,BitTorrent-1.0
scancode://bittorrent-1.1,BitTorrent-1.1
scancode://blessing,blessing
scancode://blueoak-1.0.0,BlueOak-1.0.0
scancode://boost-1.0,BSL-1.0
scancode://borceux,Borceux
scancode://bsd-1-clause,BSD-1-Clause
scancode://bsd-2-clause-views,BSD-2-Clause-Views
scancode://bsd-3-clause-no-nuclear-warranty,BSD-3-Clause-No-Nuclear-Warranty
scancode://bsd-3-clause-open-mpi,BSD-3-Clause-Open-MPI
scancode://bsd-ack,BSD-3-Clause-Attribution
scancode://bsd-new,BSD-3-Clause
scancode://bsd-original,BSD-4-Clause
scancode://bsd-original-uc,BSD-4-Clause-UC
scancode://bsd-plus-patent,BSD-2-Clause-Patent
scancode://bsd-protection,BSD-Protection
scancode://bsd-simplified,BSD-2-Clause
scancode://bsd-source-code,BSD-Source-Code
scancode://bsd-zero,0BSD
scancode://bzip2-libbzip-2010,bzip2-1.0.6
scancode://cal-1.0,CAL-1.0
scancode://cal-1.0-combined-work-exception,CAL-1.0-Combined-Work-Exception
scancode://caldera,Caldera
scancode://can-ogl-2.0-en,OGL-Canada-2.0
scancode://ca-tosl-1.1,CATOSL-1.1
scancode://cc0-1.0,CC0-1.0
scancode://cc-by-1.0,CC-BY-1.0
scancode://cc-by-2.0,CC-BY-2.0
scancode://cc-by-2.5,CC-BY-2.5
scancode://cc-by-3.0-at,CC-BY-3.0-AT
scancode://cc-by-3.0,CC-BY-3.0
scancode://cc-by-4.0,CC-BY-4.0
scancode://cc-by-nc-1.0,CC-BY-NC-1.0
scancode://cc-by-nc-2.0,CC-BY-NC-2.0
scancode://cc-by-nc-2.5,CC-BY-NC-2.5
scancode://cc-by-nc-3.0,CC-BY-NC-3.0
scancode://cc-by-nc-4.0,CC-BY-NC-4.0
scancode://cc-by-nc-nd-1.0,CC-BY-NC-ND-1.0
scancode://cc-by-nc-nd-2.0,CC-BY-NC-ND-2.0
scancode://cc-by-nc-nd-2.5,CC-BY-NC-ND-2.5
scancode://cc-by-nc-nd-3.0,CC-BY-NC-ND-3.0
scancode://cc-by-nc-nd-3.0-igo,CC-BY-NC-ND-3.0-IGO
scancode://cc-by-nc-nd-4.0,CC-BY-NC-ND-4.0
scancode://cc-by-nc-sa-1.0,CC-BY-NC-SA-1.0
scancode://cc-by-nc-sa-2.0,CC-BY-NC-SA-2.0
scancode://cc-by-nc-sa-2.5,CC-BY-NC-SA-2.5
scancode://cc-by-nc-sa-3.0,CC-BY-NC-SA-3.0
scancode://cc-by-nc-sa-4.0,CC-BY-NC-SA-4.0
scancode://cc-by-nd-1.0,CC-BY-ND-1.0
scancode://cc-by-nd-2.0,CC-BY-ND-2.0
scancode://cc-by-nd-2.5,CC-BY-ND-2.5
scancode://cc-by-nd-3.0,CC-BY-ND-3.0
scancode://cc-by-nd-4.0,CC-BY-ND-4.0
scancode://cc-by-sa-1.0,CC-BY-SA-1.0
scancode://cc-by-sa-2.0,CC-BY-SA-2.0
scancode://cc-by-sa-2.5,CC-BY-SA-2.5
scancode://cc-by-sa-3.0-at,CC-BY-SA-3.0-AT
scancode://cc-by-sa-3.0,CC-BY-SA-3.0
scancode://cc-by-sa-4.0,CC-BY-SA-4.0
scancode://cc-pd,CC-PDDC
scancode://cddl-1.0,CDDL-1.0
scancode://cddl-1.1,CDDL-1.1
scancode://cdla-permissive-1.0,CDLA-Permissive-1.0
scancode://cdla-sharing-1.0,CDLA-Sharing-1.0
scancode://cecill-1.0,CECILL-1.0
scancode://cecill-1.1,CECILL-1.1
scancode://cecill-2.0,CECILL-2.0
scancode://cecill-2.1,CECILL-2.1
scancode://cecill-b,CECILL-B
scancode://cecill-c,CECILL-C
scancode://cern-ohl-1.1,CERN-OHL-1.1
scancode://cern-ohl-1.2,CERN-OHL-1.2
scancode://cern-ohl-p-2.0,CERN-OHL-P-2.0
scancode://cern-ohl-s-2.0,CERN-OHL-S-2.0
scancode://cern-ohl-w-2.0,CERN-OHL-W-2.0
scancode://clear-bsd,BSD-3-Clause-Clear
scancode://cmu-template,MIT-CMU
scancode://cmu-uc,MIT-CMU
scancode://cnri-jython,CNRI-Jython
scancode://cnri-python-1.6.1,CNRI-Python-GPL-Compatible
scancode://cnri-python-1.6,CNRI-Python
scancode://condor-1.1,Condor-1.1
scancode://copyleft-next-0.3.0,copyleft-next-0.3.0
scancode://copyleft-next-0.3.1,copyleft-next-0.3.1
scancode://cpal-1.0,CPAL-1.0
scancode://cpl-1.0,CPL-1.0
scancode://cpol-1.02,CPOL-1.02
scancode://crossword,Crossword
scancode://crystal-stacker,CrystalStacker
scancode://cua-opl-1.0,CUA-OPL-1.0
scancode://cube,Cube
scancode://curl,curl
scancode://d-fsl-1.0-de,D-FSL-1.0
scancode://diffmark,diffmark
scancode://dom4j,Plexus
scancode://dotseqn,Dotseqn
scancode://dsdp,DSDP
scancode://dvipdfm,dvipdfm
scancode://ecl-1.0,ECL-1.0
scancode://ecl-2.0,ECL-2.0
scancode://ecosrh-1.1,RHeCos-1.1
scancode://efl-1.0,EFL-1.0
scancode://efl-2.0,EFL-2.0
scancode://egenix-1.1.0,eGenix
scancode://enlightenment,MIT-advertising
scancode://enna,MIT-enna
scancode://entessa-1.0,Entessa
scancode://epics,EPICS
scancode://epl-1.0,EPL-1.0
scancode://epl-2.0,EPL-2.0
scancode://erlangpl-1.1,ErlPL-1.1
scancode://etalab-2.0,etalab-2.0
scancode://eu-datagrid,EUDatagrid
scancode://eupl-1.0,EUPL-1.0
scancode://eupl-1.1,EUPL-1.1
scancode://eupl-1.2,EUPL-1.2
scancode://eurosym,Eurosym
scancode://fair,Fair
scancode://fastcgi-devkit,OML
scancode://frameworx-1.0,Frameworx-1.0
scancode://freeimage-1.0,FreeImage
scancode://freetype,FTL
scancode://fsf-ap,FSFAP
scancode://fsf-free,FSFUL
scancode://fsf-unlimited,FSFULLR
scancode://gfdl-1.1,GFDL-1.1-only
scancode://gfdl-1.1-plus,GFDL-1.1-or-later
scancode://gfdl-1.2,GFDL-1.2-only
scancode://gfdl-1.2-plus,GFDL-1.2-or-later
scancode://gfdl-1.3,GFDL-1.3-only
scancode://gfdl-1.3-plus,GFDL-1.3-or-later
scancode://gl2ps,GL2PS
scancode://glide,Glide
scancode://glulxe,Glulxe
scancode://glwtpl,GLWTPL
scancode://gnuplot,gnuplot
scancode://gpl-1.0,GPL-1.0-only
scancode://gpl-1.0-plus,GPL-1.0-or-later
scancode://gpl-2.0,GPL-2.0-only
scancode://gpl-2.0-plus,GPL-2.0-or-later
scancode://gsoap-1.3b,gSOAP-1.3b
scancode://haskell-report,HaskellReport
scancode://henry-spencer-1999,Spencer-99
scancode://hippocratic-2.1,Hippocratic-2.1
scancode://historical,HPND
scancode://historical-sell-variant,HPND-sell-variant
scancode://hs-regexp,Spencer-94
scancode://ibm-pibs,IBM-pibs
scancode://ibmpl-1.0,IPL-1.0
scancode://ijg,IJG
scancode://imagemagick,ImageMagick
scancode://imlib2,Imlib2
scancode://indiana-extreme-1.2,xpp
scancode://info-zip,Info-ZIP
scancode://intel-acpi,Intel-ACPI
scancode://intel-bsd-export-control,Intel
scancode://interbase-1.0,Interbase-1.0
scancode://ipa-font,IPA
scancode://isc,ISC
scancode://jasper-2.0,JasPer-2.0
scancode://jpnic-idnkit,JPNIC
scancode://json,JSON
scancode://latex2e,Latex2e
scancode://lbnl-bsd,BSD-3-Clause-LBNL
scancode://leptonica,Leptonica
scancode://lgpl-2.0,LGPL-2.0-only
scancode://lgpl-2.0-plus,LGPL-2.0-or-later
scancode://lgpl-2.1,LGPL-2.1-only
scancode://lgpl-2.1-plus,LGPL-2.1-or-later
scancode://lgpllr,LGPLLR
scancode://libpng,Libpng
scancode://libpng-v2,libpng-2.0
scancode://linux-openib,Linux-OpenIB
scancode://lppl-1.0,LPPL-1.0
scancode://lppl-1.1,LPPL-1.1
scancode://lppl-1.2,LPPL-1.2
scancode://lppl-1.3a,LPPL-1.3a
scancode://lppl-1.3c,LPPL-1.3c
scancode://lucent-pl-1.02,LPL-1.02
scancode://lucent-pl-1.0,LPL-1.0
scancode://makeindex,MakeIndex
scancode://mir-os,MirOS
scancode://mit-0,MIT-0
scancode://mit-ack,MIT-feh
scancode://mit-export-control,Xerox
scancode://mit,MIT
scancode://mit-no-false-attribs,MITNFA
scancode://mit-old-style-no-advert,NTP
scancode://mongodb-sspl-1.0,SSPL-1.0
scancode://motosoto-0.9.1,Motosoto
scancode://mpich,mpich2
scancode://mpl-1.0,MPL-1.0
scancode://mpl-1.1,MPL-1.1
scancode://mpl-2.0,MPL-2.0
scancode://mpl-2.0-no-copyleft-exception,MPL-2.0-no-copyleft-exception
scancode://ms-pl,MS-PL
scancode://ms-rl,MS-RL
scancode://mtll,MTLL
scancode://mulanpsl-1.0,MulanPSL-1.0
scancode://mulanpsl-2.0,MulanPSL-2.0
scancode://multics,Multics
scancode://mup,Mup
scancode://nasa-1.3,NASA-1.3
scancode://naumen,Naumen
scancode://nbpl-1.0,NBPL-1.0
scancode://ncgl-uk-2.0,NCGL-UK-2.0
scancode://netcdf,NetCDF
scancode://net-snmp,Net-SNMP
scancode://newsletr,Newsletr
scancode://ngpl,NGPL
scancode://nist-pd-fallback,NIST-PD-fallback
scancode://nist-pd,NIST-PD
scancode://nlod-1.0,NLOD-1.0
scancode://nlpl,NLPL
scancode://nokos-1.0a,Nokia
scancode://nosl-1.0,NOSL
scancode://nosl-3.0,NPOSL-3.0
scancode://noweb,Noweb
scancode://npl-1.0,NPL-1.0
scancode://npl-1.1,NPL-1.1
scancode://nrl,NRL
scancode://ntp-0,NTP-0
scancode://ntpl,NTP
scancode://occt-pl,OCCT-PL
scancode://oclc-2.0,OCLC-2.0
scancode://odbl-1.0,ODbL-1.0
scancode://odc-by-1.0,ODC-By-1.0
scancode://ofl-1.0,OFL-1.0
scancode://ofl-1.1,OFL-1.1
scancode://ogc-1.0,OGC-1.0
scancode://ogl-uk-1.0,OGL-UK-1.0
scancode://ogl-uk-2.0,OGL-UK-2.0
scancode://ogl-uk-3.0,OGL-UK-3.0
scancode://opengroup,OGTSL
scancode://openldap-1.1,OLDAP-1.1
scancode://openldap-1.2,OLDAP-1.2
scancode://openldap-1.3,OLDAP-1.3
scancode://openldap-1.4,OLDAP-1.4
scancode://openldap-2.0.1,OLDAP-2.0.1
scancode://openldap-2.0,OLDAP-2.0
scancode://openldap-2.1,OLDAP-2.1
scancode://openldap-2.2.1,OLDAP-2.2.1
scancode://openldap-2.2.2,OLDAP-2.2.2
scancode://openldap-2.2,OLDAP-2.2
scancode://openldap-2.3,OLDAP-2.3
scancode://openldap-2.4,OLDAP-2.4
scancode://openldap-2.5,OLDAP-2.5
scancode://openldap-2.6,OLDAP-2.6
scancode://openldap-2.7,OLDAP-2.7
scancode://openldap-2.8,OLDAP-2.8
